CB_REFERENCE_NUMBER,EXPIRY_DATE,REGISTRATION_TYPE,APPLICANT_TYPE,PARTY_NAME,TRADING_NAME
CB/AE5004ZA/A001,7/12/2014,Carrier,Public Body,Birmingham City Council,
CB/AE5252MH/A001,3/4/2016,Broker,Public Body,Doncaster Metropolitan Borough Council,Doncaster District (B)
CB/AE5455MD/A001,8/13/2015,Carrier and Broker,Public Body,Reedness & Swinefleet Internal Drainage Board ,
CB/AE5755MS/A001,8/13/2015,Carrier and Broker,Public Body,Goole Fields Internal Drainage Board ,
CB/AE5855MM/A001,8/13/2015,Carrier and Broker,Public Body,Sow & Penk Internal Drainage Board ,
CB/AE5933KJ/R002,6/5/2016,Carrier,Public Body,Somerset County Council,Somerset County Council
CB/AE5955MX/A001,8/13/2015,Carrier and Broker,Public Body,Ancholme Internal Drainage Board ,
CB/AN5612BY/R002,1/19/2015,Carrier and Broker,Public Body,Ealing Council ,
CB/BN5519KR/R003,4/24/2015,Carrier,Public Body,Witney Town Council,
CB/CE5003QT/V003,11/21/2014,Carrier,Public Body,NHS Mid Essex,Mid Essex PCT
CB/CE5452MV/A001,2/26/2016,Carrier,Public Body,Three Rivers District Council,Three Rivers District
CB/CE5601FX/A001,7/11/2014,Carrier,Public Body,Birmingham and Solihull Mental Health NHS Foundation Trust,Birmingham and Solihull Mental Health NHS Trust
CB/CE5703CT/A001,6/20/2014,Carrier and Broker,Public Body,South Staffordshire PCT,South Staffordshire PCT
CB/CE5859LZ/A001,7/23/2015,Carrier and Broker,Public Body,Scunthorpe & Gainsborough Water Management Board,
CB/CN5717MJ/R002,7/16/2015,Carrier,Public Body,Heatherwood and Wexham Park Hospitals NHS Foundation Trust,Heatherwood and Wexham Park Hospitals NHS Trust
CB/DE5002DR/A001,10/18/2014,Broker,Public Body,Rotherham Primary Care Trust,Rotherham PCT
CB/DE5091LH/A001,1/10/2015,Carrier,Public Body,Stansted Parish Council,
CB/DE5503JZ/A001,11/13/2014,Carrier and Broker,Public Body,Dudley and Walsall Mental Health Partnership Trust,
CB/DE5591LD/A001,1/9/2015,Carrier,Public Body,Middlesbrough ,
CB/DM3089WS/R003,4/20/2015,Carrier and Broker,Public Body,Kirklees Council,Kirklees District (B)
CB/EE5291EK/A001,3/19/2015,Broker,Public Body,NHS County Durham ,
CB/EE5591EN/A001,3/19/2015,Carrier and Broker,Public Body,Saffron Walden,
